"","typingDuration","game_id","video_id","hour","dayOfWeek","match"
"32840",1000,13242,3310,21,4,0
"32841",0,13243,3575,21,4,1.56332437732796
"32842",1000,13243,3575,21,4,0.27579468986608
"32843",1000,13243,3575,21,4,0
"32844",1000,13243,3575,21,4,0
"32845",1000,13243,3575,21,4,0
"32846",1000,13243,3575,22,4,1.26722423501424
"32847",1000,13243,3575,22,4,1.18592615929422
"32848",0,13243,3575,22,4,0.81873075307798
"32849",1000,13243,3575,22,4,1
"32850",3000,13245,3953,22,4,2.26982860983107
"32851",1000,13245,3953,22,4,2.3077815521916
"32852",3000,13245,3953,22,4,3.25868732067557
"32853",2000,13245,3953,22,4,0
"32854",2000,13245,3953,22,4,3.5355405030629
"32855",1000,13245,3953,22,4,0.81873075308462
"32856",1000,13245,3953,22,4,4.27492301231193
"32857",1000,13245,3953,22,4,2.93950619846576
"32858",2000,13245,3953,22,4,4.59763420940859
"32859",2000,13246,168,22,4,2.43134775840228
"32860",2000,13246,168,22,4,0.0905492723462298
"32861",1000,13246,168,22,4,2.03786243520765
"32862",1000,13247,11620,22,4,0.81873075307798
"32863",2000,13247,11620,22,4,0.0907179532894098
"32864",3000,13247,11620,22,4,2.43489022943891
"32865",3000,13253,11585,10,5,1.52032589404187
"32866",5000,13253,11585,10,5,0
"32867",3000,13254,11803,10,5,3.45619225923395
"32868",2000,13254,11803,10,5,6.04320338253505
"32869",2000,13254,11803,10,5,3.40919285922027
"32870",1000,13254,11803,10,5,5.31874169029852
"32871",1000,13254,11803,10,5,1.82174762415591
"32872",1000,13254,11803,10,5,6.93199993882846
"32873",4000,13255,1163,10,5,0
"32874",5000,13256,5260,10,5,0
"32875",7000,13256,5260,10,5,0
"32876",2000,13257,3346,10,5,10.9647596949095
"32877",2000,13257,3346,10,5,8.4707325413992
"32878",2000,13257,3346,10,5,4.94369816835509
"32879",1000,13257,3346,10,5,4.63746150615596
"32880",2000,13257,3346,10,5,0.02173352381956
"32881",1000,13257,3346,10,5,3.73565279351083
"32882",2000,13257,3346,10,5,0.24659696402562
"32883",2000,13257,3346,10,5,1.22984155365841
"32884",2000,13257,3346,10,5,6.83469478651287
"32885",2000,13257,3346,10,5,0.00443068814896996
"32886",5000,13258,11490,10,5,0
"32887",3000,13258,11490,10,5,0.13533528332063
"32888",2000,13259,3873,10,5,10.1399485256072
"32889",2000,13259,3873,10,5,11.4969021070253
"32890",2000,13259,3873,10,5,3.27553426507306
"32891",2000,13259,3873,10,5,0.0994815626713201
"32892",1000,13259,3873,10,5,1.34798689235166
"32893",0,13259,3873,10,5,0.0135644275832401
"32894",1000,13259,3873,10,5,10.2522144363952
"32895",1000,13259,3873,10,5,3.95464291627586
"32896",3000,13259,3873,10,5,5.30224551591383
"32897",9000,13260,2591,10,5,0.83289579737575
"32898",0,13259,3873,10,5,2.53099763369846e-11
"32899",4000,13260,2591,11,5,1.17715776248211
"32900",4000,13261,11641,11,5,1
"32901",3000,13261,11641,11,5,0
"32902",6000,13260,2591,11,5,0.21527061873811
"32903",3000,13261,11641,11,5,5.52049153473421
"32904",3000,13260,2591,11,5,0.79961625098923
"32905",1000,13261,11641,11,5,4.48905079911362
"32906",1000,13261,11641,11,5,0
"32907",2000,13261,11641,11,5,12.5941794326911
"32908",3000,13263,3519,11,5,8.2592035185096
"32909",9000,13263,3519,11,5,5.10193280707385
"32910",2000,13263,3519,11,5,8.382973902938
"32911",3000,13263,3519,11,5,7.77444498920542
"32912",2000,13263,3519,11,5,7.61404075659389
"32913",1000,13263,3519,11,5,5.47842310768117
"32914",3000,13263,3519,11,5,6.04422416910512
